"","Id","UID","UTC","UTCMilliseconds","PCLocalTime","PCTime","ChannelBitmap","SequenceBitmap","UpdateOf","Source","encounterCount","sightingNum","classifiedAs","classifierUsed","classifier2Used","voteList","spList","freqMax","freqMin","duration","freqBeg","freqEnd","freqRange","dcMean","dcStdDev","freqMean","freqStdDev","freqMedian","freqCenter","freqRelBW","freqMaxMinRatio","freqBegEndRatio","freqQuarter1","freqQuarter2","freqQuarter3","freqSpread","dcQuarter1Mean","dcQuarter2Mean","dcQuarter3Mean","dcQuarter4Mean","freqCOFM","freqStepUp","freqStepDown","freqNumSteps","freqSlopeMean","freqAbsSlopeMean","freqPosSlopeMean","freqNegSlopeMean","freqSlopeRatio","freqBegSweep","freqBegUp","freqBegDwn","freqEndSweep","freqEndUp","freqEndDwn","numSweepsUpDwn","numSweepsDwnUp","numSweepsUpFlat","numSweepsDwnFlat","numSweepsFlatUp","numSweepsFlatDwn","freqSweepUpPercent","freqSweepDwnPercent","freqSweepFlatPercent","numInflections","inflMaxDelta","inflMinDelta","inflMaxMinDelta","inflMeanDelta","inflStdDevDelta","inflMedianDelta","infldur","stepdur","freqPeak","bw3db","bw3dbLow","bw3dbHigh","bw10db","bw10dbLow","bw10dbHigh","rmsSignal","rmsNoise","snr","nCrossings","sweepRate","meanTimeZC","medianTimeZC","varianceTimeZC","whaleTrain","clickType","ici","offlineEventID","latitude","longitude"
"1",1,5344,"2018-08-02 22:34:34.026",26,"2018-08-02 18:34:34.026","2023-10-25 22:17:48.529",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter35-A5CCORRECT__0__20180802_223000-Channel1-20180802_223434.csv             ",35,"AutoEvent5          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.27733-0.0-0.04133-0.03867-0.0-0.268-0.15467-0.152-0.068-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12375,10828.125,0.192,10968.75,12093.75,1546.875,0,0,11427.6315789474,535.729949645685,11296.875,11601.5625,0.133333333333333,1.14285714285714,0.906976744186047,10921.875,11296.875,11812.5,914.0625,0,0,0,0,0.140625,0,0,0,6002.73569023569,10264.0993265993,13309.2286501377,-9588.06818181818,-1.38810325476992,1,0,0,2,1,0,1,1,0,0,0,1,63.1578947368421,26.3157894736842,10.5263157894737,2,0.117,0.117,1,0.117,0,0.117,10.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,5345,"2018-08-03 02:16:41.919",919,"2018-08-02 22:16:41.919","2023-10-25 22:17:51.278",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter36-A5CCORRECT__0__20180803_021500-Channel1-20180803_021641.csv             ",36,"AutoEvent6          ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.12133-0.0-0.06133-0.16533-0.0-0.128-0.12133-0.08533-0.31733-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11015.625,10359.375,0.182,10968.75,10828.125,656.25,0,0,10722.65625,250.682661696018,10757.8125,10687.5,0.0614035087719298,1.06334841628959,1.01298701298701,10968.75,10359.375,10453.125,515.625,0,0,0,0,0.1265625,0,0,0,-1346.04978354978,11381.2229437229,15052.7597402597,-13636.3636363636,-1.10386904761905,0,0,1,2,1,0,2,1,0,0,0,0,33.3333333333333,66.6666666666667,0,3,0.085,0.054,1.57407407407407,0.0695,0.021920310216783,0.0695,16.4835164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,5346,"2018-08-03 02:16:58.486",486,"2018-08-02 22:16:58.486","2023-10-25 22:17:51.480",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter37-A5CCORRECT__0__20180803_021500-Channel1-20180803_021658.csv             ",37,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.3-0.0-0.08133-0.04667-0.0-0.212-0.12933-0.156-0.07467-)                                                                      ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",10875,9890.625,0.233,10031.25,10734.375,984.375,0,0,10432.7445652174,347.296873837176,10593.75,10382.8125,0.0948081264108352,1.09952606635071,0.934497816593886,9890.625,10593.75,10828.125,679.6875,0,0,0,0,0.0796875,0,0,0,3024.92252066116,10153.0216942149,13177.944214876,-9801.13636363636,-1.34453227931489,0,0,1,2,1,0,2,2,0,0,0,0,63.6363636363636,36.3636363636364,0,4,0.117,0.011,10.6363636363636,0.0566666666666667,0.0545007645206316,0.042,17.1673819742489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,5347,"2018-08-03 02:17:03.637",637,"2018-08-02 22:17:03.637","2023-10-25 22:17:51.536",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter38-A5CCORRECT__0__20180803_021500-Channel1-20180803_021703.csv             ",38,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.256-0.0-0.05333-0.208-0.0-0.22133-0.028-0.07867-0.15467-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11250,10406.25,0.15,11250,10406.25,843.75,0,0,10809.375,317.3067817586,10828.125,10828.125,0.0779220779220779,1.08108108108108,1.08108108108108,11156.25,10875,10453.125,562.5,0,0,0,0,0.0421875,0,0,0,-5534.51178451178,9606.48148148148,9161.93181818182,-9733.49567099567,-0.941278665740097,0,0,1,2,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,5348,"2018-08-03 02:17:11.584",584,"2018-08-02 22:17:11.584","2023-10-25 22:17:51.629",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter39-A5CCORRECT__0__20180803_021500-Channel1-20180803_021711.csv             ",39,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.14667-0.0-0.08133-0.05867-0.0-0.136-0.11333-0.18-0.284-)                                                                     ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11390.625,10546.875,0.191,11250,10734.375,843.75,0,0,11044.921875,294.418289014541,11226.5625,10968.75,0.0769230769230769,1.08,1.04803493449782,11296.875,11250,10593.75,527.34375,0,0,0,0,0.1125,0,0,0,-4197.93868921776,12847.5158562368,12974.3657505285,-21306.8181818182,-0.60893023255814,2,1,0,0,0,1,1,2,1,1,0,2,33.3333333333333,50,16.6666666666667,4,0.117,0.021,5.57142857142857,0.0533333333333333,0.0551392177432119,0.022,20.9424083769633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,5349,"2018-08-03 02:17:36.703",703,"2018-08-02 22:17:36.703","2023-10-25 22:17:51.959",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter40-A5CCORRECT__0__20180803_021500-Channel1-20180803_021736.csv             ",40,"AutoEvent6          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.23067-0.0-0.068-0.04-0.0-0.33733-0.15067-0.092-0.08133-)                                                                     ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14250,12937.5,0.171,12937.5,13593.75,1312.5,0,0,13632.3529411765,348.910030586588,13546.875,13593.75,0.096551724137931,1.10144927536232,0.951724137931035,13359.375,13546.875,13968.75,421.875,0,0,0,0,0.065625,0,0,0,3702.05965909091,11372.5142045455,20099.4318181818,-20454.5454545455,-0.982638888888889,2,1,0,2,1,0,1,0,1,0,1,0,60,25,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,5350,"2018-08-03 02:17:57.877",877,"2018-08-02 22:17:57.877","2023-10-25 22:17:52.249",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter41-A5CCORRECT__0__20180803_021500-Channel1-20180803_021757.csv             ",41,"AutoEvent6          ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.18267-0.0-0.04267-0.10533-0.0-0.15733-0.11067-0.1-0.30133-)                                                                  ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12281.25,11062.5,0.203,12234.375,11343.75,1218.75,0,0,11535.9375,346.100664879834,11437.5,11671.875,0.104417670682731,1.11016949152542,1.07851239669422,11812.5,11156.25,11437.5,492.1875,0,0,0,0,0.103125,0,0,0,-4395.93301435407,10496.4114832536,8279.22077922078,-15719.696969697,-0.526678141135973,0,0,1,0,0,1,2,2,0,1,0,1,33.3333333333333,58.3333333333333,8.33333333333333,4,0.052,0.011,4.72727272727273,0.0283333333333333,0.021221058723196,0.022,19.7044334975369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,5351,"2018-08-03 02:19:23.626",626,"2018-08-02 22:19:23.626","2023-10-25 22:17:53.432",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter42-A5CCORRECT__0__20180803_021500-Channel1-20180803_021923.csv             ",42,"AutoEvent6          ","Scl                 ","NWAtlWhist.model                                                                                                                ",NA,"(0.19333-0.0-0.064-0.07867-0.0-0.18267-0.30133-0.09733-0.08267-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",15421.875,14390.625,0.213,14390.625,15187.5,1031.25,0,0,14968.75,321.472746220422,15000,14906.25,0.0691823899371069,1.07166123778502,0.947530864197531,14718.75,15046.875,15375,421.875,0,0,0,0,0.0890625,0,0,0,3655.30303030303,9109.84848484849,10637.6262626263,-10909.0909090909,-0.975115740740741,2,1,0,2,1,0,2,1,0,0,0,0,90.9090909090909,9.09090909090909,0,3,0.085,0.011,7.72727272727273,0.048,0.0523259018078045,0.048,14.0845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,5352,"2018-08-03 02:19:29.322",322,"2018-08-02 22:19:29.322","2023-10-25 22:17:53.504",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter43-A5CCORRECT__0__20180803_021500-Channel1-20180803_021929.csv             ",43,"AutoEvent6          ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.204-0.0-0.04-0.07067-0.0-0.17333-0.08533-0.05867-0.368-)                                                                     ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11718.75,11109.375,0.172,11718.75,11156.25,609.375,0,0,11387.8676470588,258.594652455329,11343.75,11414.0625,0.053388090349076,1.05485232067511,1.05042016806723,11671.875,11296.875,11109.375,562.5,0,0,0,0,0.1171875,0,0,0,-3616.24053030303,10496.5672348485,27521.3068181818,-14112.8077651515,-1.95009435940449,0,0,1,2,1,0,1,0,0,1,1,1,25,55,20,2,0.023,0.023,1,0.023,0,0.023,11.6279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,5353,"2018-08-03 02:19:35.519",519,"2018-08-02 22:19:35.519","2023-10-25 22:17:53.575",0,NA,0,"C:\Users\Bailey Lab\Desktop\A5C_2018_Banter\Encounter44-A5CCORRECT__0__20180803_021500-Channel1-20180803_021935.csv             ",44,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.07467-0.0-0.07333-0.26533-0.0-0.06267-0.11733-0.11867-0.288-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",17484.375,16828.125,0.15,16828.125,17343.75,656.25,0,0,17321.875,172.563555838339,17343.75,17156.25,0.0382513661202186,1.03899721448468,0.97027027027027,17437.5,17484.375,17484.375,187.5,0,0,0,0,0.0140625,0,0,0,3409.09090909091,11079.5454545455,16903.4090909091,-10738.6363636364,-1.57407407407407,2,1,0,0,0,1,3,2,0,0,0,0,50,50,0,5,0.022,0.011,2,0.01875,0.00525198375219624,0.021,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
