"","Id","UID","UTC","UTCMilliseconds","PCLocalTime","PCTime","ChannelBitmap","SequenceBitmap","UpdateOf","Source","encounterCount","sightingNum","classifiedAs","classifierUsed","classifier2Used","voteList","spList","freqMax","freqMin","duration","freqBeg","freqEnd","freqRange","dcMean","dcStdDev","freqMean","freqStdDev","freqMedian","freqCenter","freqRelBW","freqMaxMinRatio","freqBegEndRatio","freqQuarter1","freqQuarter2","freqQuarter3","freqSpread","dcQuarter1Mean","dcQuarter2Mean","dcQuarter3Mean","dcQuarter4Mean","freqCOFM","freqStepUp","freqStepDown","freqNumSteps","freqSlopeMean","freqAbsSlopeMean","freqPosSlopeMean","freqNegSlopeMean","freqSlopeRatio","freqBegSweep","freqBegUp","freqBegDwn","freqEndSweep","freqEndUp","freqEndDwn","numSweepsUpDwn","numSweepsDwnUp","numSweepsUpFlat","numSweepsDwnFlat","numSweepsFlatUp","numSweepsFlatDwn","freqSweepUpPercent","freqSweepDwnPercent","freqSweepFlatPercent","numInflections","inflMaxDelta","inflMinDelta","inflMaxMinDelta","inflMeanDelta","inflStdDevDelta","inflMedianDelta","infldur","stepdur","freqPeak","bw3db","bw3dbLow","bw3dbHigh","bw10db","bw10dbLow","bw10dbHigh","rmsSignal","rmsNoise","snr","nCrossings","sweepRate","meanTimeZC","medianTimeZC","varianceTimeZC","whaleTrain","clickType","ici","offlineEventID","latitude","longitude"
"1",1,6411,"2017-01-15 19:15:15.551",551,"2017-01-15 14:15:15.551","2023-11-02 17:17:25.387",0,NA,0,"H:\A5C2015\Encounter1-A5-C__0__20170115_191500-Channel1-20170115_191515.csv                                                     ",1,"AutoEvent2          ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.34133-0.0-0.01333-0.036-0.0-0.324-0.084-0.14667-0.05467-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11906.25,9515.625,0.566,10031.25,11906.25,2390.625,0,0,10236.4386792453,718.475842204116,9984.375,10710.9375,0.223194748358862,1.2512315270936,0.84251968503937,9562.5,9984.375,10781.25,1125,0,0,0,0,0.3234375,0,0,0,3681.79997086247,11516.1531177156,13625.7510449321,-11981.9518716578,-1.13718959906379,0,0,1,2,1,0,4,4,0,0,0,0,75.7575757575758,24.2424242424242,0,8,0.139,0.022,6.31818181818182,0.0671428571428572,0.0500647200179547,0.044,14.1342756183746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,6412,"2017-01-15 19:15:35.103",103,"2017-01-15 14:15:35.103","2023-11-02 17:17:26.164",0,NA,0,"H:\A5C2015\Encounter2-A5-C__0__20170115_191500-Channel1-20170115_191535.csv                                                     ",2,"AutoEvent2          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.152-0.0-0.08933-0.108-0.0-0.13733-0.19867-0.16667-0.148-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",10875,9796.875,0.193,9984.375,10875,1078.125,0,0,10154.296875,349.891863875469,10031.25,10335.9375,0.104308390022676,1.11004784688995,0.918103448275862,9843.75,10031.25,9843.75,480.46875,0,0,0,0,0.103125,0,0,0,2926.13636363636,14630.6818181818,14630.6818181818,-17556.8181818182,-0.833333333333333,0,0,1,2,1,0,1,1,0,0,0,0,66.6666666666667,33.3333333333333,0,2,0.139,0.139,1,0.139,0,0.139,10.3626943005181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,6413,"2017-01-15 19:16:53.546",546,"2017-01-15 14:16:53.546","2023-11-02 17:17:29.075",0,NA,0,"H:\A5C2015\Encounter3-A5-C__0__20170115_191500-Channel1-20170115_191653.csv                                                     ",3,"AutoEvent2          ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.12133-0.0-0.028-0.11067-0.0-0.132-0.23067-0.07333-0.304-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",18140.625,17578.125,0.16,17578.125,18093.75,562.5,0,0,17993.3035714286,168.366092608072,18070.3125,17859.375,0.031496062992126,1.032,0.971502590673575,18093.75,18093.75,18000,93.75,0,0,0,0,0.0421875,0,0,0,1554.98798076923,10733.3096590909,13312.3224431818,-19886.3636363636,-0.669419642857143,2,1,0,0,0,1,2,1,1,0,1,0,50,28.5714285714286,21.4285714285714,3,0.032,0.021,1.52380952380952,0.0265,0.00777817459305202,0.0265,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,6414,"2017-01-15 19:17:44.607",607,"2017-01-15 14:17:44.607","2023-11-02 17:17:31.277",0,NA,0,"H:\A5C2015\Encounter4-A5-C__0__20170115_191500-Channel1-20170115_191744.csv                                                     ",4,"AutoEvent2          ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.30933-0.0-0.13067-0.048-0.0-0.168-0.02267-0.252-0.06933-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12187.5,10125,0.16,10125,12140.625,2062.5,0,0,11367.1875,585.968749166711,11484.375,11156.25,0.184873949579832,1.2037037037037,0.833976833976834,10921.875,11437.5,11718.75,808.59375,0,0,0,0,0.121875,0,0,0,12179.6085858586,14054.6085858586,15135.1252913753,-7031.25,-2.15255115255115,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,6415,"2017-01-15 19:17:49.333",333,"2017-01-15 14:17:49.333","2023-11-02 17:17:31.494",0,NA,0,"H:\A5C2015\Encounter5-A5-C__0__20170115_191500-Channel1-20170115_191749.csv                                                     ",5,"AutoEvent2          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.23333-0.0-0.032-0.03067-0.0-0.19067-0.096-0.252-0.16533-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12609.375,11390.625,0.17,11390.625,11765.625,1218.75,0,0,11848.3455882353,332.915399378554,11765.625,12000,0.1015625,1.10699588477366,0.968127490039841,11578.125,11765.625,12046.875,328.125,0,0,0,0,0.103125,0,0,0,1194.06960227273,13498.7571022727,10685.6921487603,-49218.75,-0.217106126197035,2,1,0,2,1,0,1,0,1,0,1,0,85.7142857142857,7.14285714285714,7.14285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6416,"2017-01-15 19:18:35.605",605,"2017-01-15 14:18:35.605","2023-11-02 17:17:33.463",0,NA,0,"H:\A5C2015\Encounter6-A5-C__0__20170115_191500-Channel1-20170115_191835.csv                                                     ",6,"AutoEvent2          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.24667-0.0-0.056-0.028-0.0-0.304-0.084-0.19067-0.09067-)                                                                      ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14578.125,12093.75,0.309,12093.75,14062.5,2484.375,0,0,12763.3928571429,751.285480700848,12351.5625,13335.9375,0.186291739894552,1.20542635658915,0.86,12187.5,12328.125,13125,972.65625,0,0,0,0,0.196875,0,0,0,6028.16358024692,9500.38580246914,11646.412037037,-46875,-0.248456790123457,1,0,0,2,1,0,1,0,1,0,2,0,75.7575757575758,12.1212121212121,12.1212121212121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,6417,"2017-01-15 19:18:50.122",122,"2017-01-15 14:18:50.122","2023-11-02 17:17:33.793",0,NA,0,"H:\A5C2015\Encounter7-A5-C__0__20170115_191500-Channel1-20170115_191850.csv                                                     ",7,"AutoEvent2          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.24533-0.0-0.03733-0.06133-0.0-0.22133-0.24-0.148-0.04667-)                                                                   ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",15421.875,13687.5,0.172,13734.375,15421.875,1734.375,0,0,14490.625,615.236235116236,14437.5,14554.6875,0.119162640901771,1.12671232876712,0.890577507598784,13875,14437.5,14812.5,1054.6875,0,0,0,0,0.1359375,0,0,0,9648.94480519481,10257.711038961,10718.9685314685,-4261.36363636364,-2.51538461538462,2,1,0,2,1,0,1,1,0,0,0,0,100,0,0,2,0.151,0.151,1,0.151,0,0.151,11.6279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,6418,"2017-01-15 19:19:06.271",271,"2017-01-15 14:19:06.271","2023-11-02 17:17:34.424",0,NA,0,"H:\A5C2015\Encounter8-A5-C__0__20170115_191500-Channel1-20170115_191906.csv                                                     ",8,"AutoEvent2          ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.31867-0.0-0.05067-0.19067-0.0-0.17467-0.03067-0.05067-0.184-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11671.875,10734.375,0.16,11671.875,10968.75,937.5,0,0,11173.828125,281.184888296384,11179.6875,11203.125,0.0836820083682008,1.08733624454148,1.06410256410256,11390.625,11390.625,10921.875,433.59375,0,0,0,0,0.0609375,0,0,0,-4349.74747474748,9747.47474747475,20241.4772727273,-8133.01282051282,-2.48880429914913,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,6419,"2017-01-19 18:15:21.258",258,"2017-01-19 13:15:21.258","2023-11-02 17:19:45.458",0,NA,0,"H:\A5C2015\Encounter9-A5-C__0__20170119_181500-Channel1-20170119_181521.csv                                                     ",9,"AutoEvent6          ","Sf                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.11333-0.0-0.00533-0.144-0.0-0.27467-0.01333-0.42533-0.024-)                                                                  ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12046.875,8859.375,0.245,8859.375,12046.875,3187.5,0,0,10241.0714285714,1055.63697341598,10078.125,10453.125,0.304932735426009,1.35978835978836,0.735408560311284,9375,10078.125,11062.5,1687.5,0,0,0,0,0.271875,0,0,0,13190.0332530373,13190.0332530373,14655.5925033748,0,0,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,6420,"2017-01-19 18:15:21.749",749,"2017-01-19 13:15:21.749","2023-11-02 17:19:45.773",0,NA,0,"H:\A5C2015\Encounter10-A5-C__0__20170119_181500-Channel1-20170119_181521.csv                                                    ",10,"AutoEvent6          ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.30933-0.0-0.03867-0.176-0.0-0.256-0.01867-0.044-0.15733-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11718.75,10453.125,0.235,11718.75,10453.125,1265.625,0,0,11154.2119565217,437.786643816314,11203.125,11085.9375,0.114164904862579,1.12107623318386,1.12107623318386,11625,11203.125,10828.125,726.5625,0,0,0,0,0.121875,0,0,0,-5194.34400826446,9416.96797520662,11612.2159090909,-10714.9621212121,-1.08373840035351,0,0,1,2,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
