"","Id","UID","UTC","UTCMilliseconds","PCLocalTime","PCTime","ChannelBitmap","SequenceBitmap","UpdateOf","Source","encounterCount","sightingNum","classifiedAs","classifierUsed","classifier2Used","voteList","spList","freqMax","freqMin","duration","freqBeg","freqEnd","freqRange","dcMean","dcStdDev","freqMean","freqStdDev","freqMedian","freqCenter","freqRelBW","freqMaxMinRatio","freqBegEndRatio","freqQuarter1","freqQuarter2","freqQuarter3","freqSpread","dcQuarter1Mean","dcQuarter2Mean","dcQuarter3Mean","dcQuarter4Mean","freqCOFM","freqStepUp","freqStepDown","freqNumSteps","freqSlopeMean","freqAbsSlopeMean","freqPosSlopeMean","freqNegSlopeMean","freqSlopeRatio","freqBegSweep","freqBegUp","freqBegDwn","freqEndSweep","freqEndUp","freqEndDwn","numSweepsUpDwn","numSweepsDwnUp","numSweepsUpFlat","numSweepsDwnFlat","numSweepsFlatUp","numSweepsFlatDwn","freqSweepUpPercent","freqSweepDwnPercent","freqSweepFlatPercent","numInflections","inflMaxDelta","inflMinDelta","inflMaxMinDelta","inflMeanDelta","inflStdDevDelta","inflMedianDelta","infldur","stepdur","freqPeak","bw3db","bw3dbLow","bw3dbHigh","bw10db","bw10dbLow","bw10dbHigh","rmsSignal","rmsNoise","snr","nCrossings","sweepRate","meanTimeZC","medianTimeZC","varianceTimeZC","whaleTrain","clickType","ici","offlineEventID","latitude","longitude"
"1",1,1,"2021-10-01 00:02:22.426",426,"2021-09-30 20:02:22.426","2023-12-12 05:27:03.870",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter1-20211001T000200_3633315971839117_2-Channel1-20211001_2402 ",1,"AutoEvent1          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.21733-0.0-0.08-0.03067-0.0-0.188-0.12-0.264-0.1-)                                                                            ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",10781.25,9750,0.203,9843.75,10781.25,1031.25,0,0,10358.1730769231,334.493043127671,10312.5,10265.625,0.100456621004566,1.10576923076923,0.91304347826087,10125,10218.75,10781.25,609.375,0,0,0,0,0.140625,0,0,0,4687.5,12088.8157894737,28977.2727272727,-17578.125,-1.64848484848485,0,0,1,2,1,0,3,5,4,1,2,3,47.8260869565217,34.7826086956522,17.3913043478261,12,0.043,0.004,10.75,0.0165454545454545,0.0111925299764051,0.012,59.1133004926108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,2,"2021-10-01 00:03:50.922",922,"2021-09-30 20:03:50.922","2023-12-12 05:27:17.422",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter2-20211001T000200_3633315971839117_2-Channel1-20211001_2403 ",2,"AutoEvent1          ","Sf                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.11733-0.0-0.02533-0.17467-0.0-0.172-0.144-0.324-0.04267-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11718.75,8718.75,0.165,9000,11718.75,3000,0,0,9455.35714285714,966.130290434597,9093.75,10218.75,0.293577981651376,1.34408602150538,0.768,9093.75,8718.75,9187.5,421.875,0,0,0,0,0.3375,0,0,0,14627.849002849,23887.1082621083,51995.1923076923,-31250,-1.66384615384615,2,1,0,2,1,0,1,0,0,2,1,1,46.3414634146342,31.7073170731707,21.9512195121951,2,0.085,0.085,1,0.085,0,0.085,12.1212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,3,"2021-10-09 04:51:33.403",403,"2021-10-09 00:51:33.403","2023-12-12 11:14:05.488",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter1-20211009T044700_3633315971839117_2-Channel1-20211009_0451 ",1,"AutoEvent788        ","Scl                 ","NWAtlWhist.model                                                                                                                ",NA,"(0.14-0.0-0.07867-0.09333-0.0-0.09733-0.34667-0.11467-0.12933-)                                                                 ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",16078.125,14859.375,0.245,14859.375,15796.875,1218.75,0,0,15701.171875,359.782746591946,15867.1875,15468.75,0.0787878787878788,1.08201892744479,0.940652818991098,15328.125,15937.5,15796.875,468.75,0,0,0,0,0.1125,0,0,0,4007.12285902503,13159.7908432148,17947.2279614325,-17542.6136363636,-1.0230646546436,2,1,0,2,1,0,1,2,2,0,0,2,61.1111111111111,27.7777777777778,11.1111111111111,5,0.022,0.02,1.1,0.02125,0.000957427107756337,0.0215,20.4081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,4,"2021-10-13 23:50:16.173",173,"2021-10-13 19:50:16.173","2023-12-12 18:50:12.382",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter2-20211013T234700_3633315971839117_2-Channel1-20211013_2350 ",2,"AutoEvent1248       ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.124-0.0-0.036-0.33867-0.0-0.35733-0.01867-0.028-0.09733-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14250,12421.875,0.202,14250,12421.875,1828.125,0,0,13209.375,582.418710444913,13171.875,13335.9375,0.137082601054482,1.14716981132075,1.14716981132075,13781.25,13218.75,12937.5,996.09375,0,0,0,0,0.140625,0,0,0,-9087.17105263158,10477.721291866,6605.11363636364,-14297.4213286713,-0.4619793656859,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,5,"2021-10-13 23:50:38.593",593,"2021-10-13 19:50:38.593","2023-12-12 18:50:20.747",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter3-20211013T234700_3633315971839117_2-Channel1-20211013_2350 ",3,"AutoEvent1248       ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.16-0.0-0.02933-0.18667-0.0-0.43867-0.02533-0.1-0.06-)                                                                        ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11437.5,9609.375,0.193,11343.75,9609.375,1828.125,0,0,10458.0592105263,562.911034033658,10265.625,10523.4375,0.173719376391982,1.19024390243902,1.18048780487805,10968.75,10265.625,10125,820.3125,0,0,0,0,0.1546875,0,0,0,-9019.88636363636,10440.3409090909,6392.04545454546,-11676.1363636364,-0.547445255474453,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6,"2021-10-20 14:35:43.606",606,"2021-10-20 10:35:43.606","2023-12-13 01:51:32.483",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter4-20211020T143200_3633315971839117_2-Channel1-20211020_1435 ",4,"AutoEvent1883       ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.16-0.0-0.06267-0.05467-0.0-0.17467-0.08533-0.14267-0.32-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11906.25,11156.25,0.256,11156.25,11250,750,0,0,11490,219.162557391768,11437.5,11531.25,0.0650406504065041,1.0672268907563,0.991666666666667,11437.5,11671.875,11390.625,328.125,0,0,0,0,0.121875,0,0,0,443.892045454546,9108.66477272727,11463.0681818182,-9452.47933884298,-1.21270491803279,2,1,0,0,0,1,2,1,0,1,0,1,40,55,5,3,0.065,0.02,3.25,0.0425,0.0318198051533946,0.0425,11.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,7,"2021-11-30 22:51:51.227",227,"2021-11-30 17:51:51.227","2023-12-16 03:49:50.181",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter1-20211130T224700_3633315971839117_2-Channel1-20211130_2251 ",1,"AutoEvent2876       ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.2-0.0-0.076-0.05733-0.0-0.17467-0.25733-0.09467-0.14-)                                                                       ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14250,13875,0.181,13875,14203.125,375,0,0,14085.9375,123.758773084744,14109.375,14062.5,0.0266666666666667,1.02702702702703,0.976897689768977,14203.125,14109.375,14109.375,234.375,0,0,0,0,0.05625,0,0,0,1942.68048128342,9362.46657754011,12011.71875,-10511.3636363636,-1.14273648648649,2,1,0,2,1,0,2,1,0,0,0,0,71.4285714285714,28.5714285714286,0,3,0.085,0.043,1.97674418604651,0.064,0.029698484809835,0.064,16.5745856353591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,8,"2021-12-01 17:35:27.062",62,"2021-12-01 12:35:27.062","2023-12-17 22:47:18.106",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter2-20211201T173200_3633315971839117_2-Channel1-20211201_1735 ",2,"AutoEvent2951       ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.128-0.0-0.09467-0.22667-0.0-0.16533-0.11867-0.01867-0.248-)                                                                  ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11437.5,10359.375,0.15,11437.5,10359.375,1078.125,0,0,10803.125,384.451211956732,10734.375,10898.4375,0.0989247311827957,1.10407239819005,1.10407239819005,11203.125,10734.375,10500,632.8125,0,0,0,0,0.084375,0,0,0,-6821.56385281385,10792.0725108225,9264.5202020202,-12329.5454545455,-0.751408090117767,0,0,1,0,0,1,1,1,0,0,0,0,12.5,87.5,0,2,0.022,0.022,1,0.022,0,0.022,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,9,"2021-12-07 22:32:02.477",477,"2021-12-07 17:32:02.477","2023-12-18 02:51:14.305",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter3-20211207T223200_3633315971839117_2-Channel1-20211207_2232 ",3,"AutoEvent3547       ","Dd                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.368-0.0-0.064-0.01467-0.0-0.23067-0.084-0.18667-0.052-)                                                                      ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12234.375,10781.25,0.256,10781.25,12234.375,1453.125,0,0,11365.0568181818,451.40389099834,11296.875,11507.8125,0.126272912423625,1.13478260869565,0.881226053639847,10921.875,11343.75,11812.5,738.28125,0,0,0,0,0.13125,0,0,0,5492.42424242424,10321.9696969697,11860.7954545455,-16903.4090909091,-0.701680672268908,2,1,0,2,1,0,2,1,1,0,1,0,82.3529411764706,11.7647058823529,5.88235294117647,3,0.203,0.01,20.3,0.1065,0.136471608769004,0.1065,11.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,10,"2021-12-07 22:32:19.117",117,"2021-12-07 17:32:19.117","2023-12-18 02:51:16.497",0,NA,0,"D:\Tailwinds\DolphinSpeciesClassifier_MetoceanLS1X\outputs\Encounter4-20211207T223200_3633315971839117_2-Channel1-20211207_2232 ",4,"AutoEvent3547       ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.20533-0.0-0.05867-0.06133-0.0-0.316-0.14-0.16133-0.05733-)                                                                   ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",13640.625,11578.125,0.268,11765.625,13125,2062.5,0,0,12476.5625,495.628820781369,12375,12609.375,0.163568773234201,1.17813765182186,0.896428571428572,12140.625,12421.875,12656.25,609.375,0,0,0,0,0.140625,0,0,0,4966.73842461886,13631.5111518916,13367.4918831169,-16607.4810606061,-0.804907850524387,0,0,1,2,1,0,1,1,0,0,0,0,100,0,0,2,0.215,0.215,1,0.215,0,0.215,7.46268656716418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
