Rocaa Whistle Stats_NoDup
,Id,UID,UTC,UTCMilliseconds,PCLocalTime,PCTime,ChannelBitmap,SequenceBitmap,UpdateOf,Source,encounterCount,sightingNum,classifiedAs,classifierUsed,classifier2Used,voteList,spList,freqMax,freqMin,duration,freqBeg,freqEnd,freqRange,dcMean,dcStdDev,freqMean,freqStdDev,freqMedian,freqCenter,freqRelBW,freqMaxMinRatio,freqBegEndRatio,freqQuarter1,freqQuarter2,freqQuarter3,freqSpread,dcQuarter1Mean,dcQuarter2Mean,dcQuarter3Mean,dcQuarter4Mean,freqCOFM,freqStepUp,freqStepDown,freqNumSteps,freqSlopeMean,freqAbsSlopeMean,freqPosSlopeMean,freqNegSlopeMean,freqSlopeRatio,freqBegSweep,freqBegUp,freqBegDwn,freqEndSweep,freqEndUp,freqEndDwn,numSweepsUpDwn,numSweepsDwnUp,numSweepsUpFlat,numSweepsDwnFlat,numSweepsFlatUp,numSweepsFlatDwn,freqSweepUpPercent,freqSweepDwnPercent,freqSweepFlatPercent,numInflections,inflMaxDelta,inflMinDelta,inflMaxMinDelta,inflMeanDelta,inflStdDevDelta,inflMedianDelta,infldur,stepdur,freqPeak,bw3db,bw3dbLow,bw3dbHigh,bw10db,bw10dbLow,bw10dbHigh,rmsSignal,rmsNoise,snr,nCrossings,sweepRate,meanTimeZC,medianTimeZC,varianceTimeZC,whaleTrain,clickType,ici,offlineEventID,latitude,longitude
1,1,4164,2018-07-12 17:33:46,335,2018-07-12 13:33:46,2023-08-27 17:28:51,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter1-T1-C__0__20180712_173000-Channel1-20180712_173346.csv,1,AutoEvent1,Ambig,NWAtlWhist.model,NA,(0.188-0.0-0.08667-0.04267-0.0-0.10533-0.20933-0.17333-0.19467-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),11250,10593.75,0.161,10734.375,10921.875,656.25,0,0,10957.03125,168.56642476976,10968.75,10921.875,0.0600858369098713,1.06194690265487,0.982832618025751,11015.625,10968.75,10921.875,105.46875,0,0,0,0,0.046875,0,0,0,-3025.72959710744,14717.0389979339,9186.02881493507,-24396.3068181818,-0.376533582865461,2,1,0,2,1,0,1,1,0,0,0,0,100,0,0,2,0.086,0.086,1,0.086,0,0.086,12.4223602484472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,4166,2018-07-12 18:03:49,45,2018-07-12 14:03:49,2023-08-27 17:30:41,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter3-T1-C__0__20180712_180000-Channel1-20180712_180349.csv,3,AutoEvent5,Sf,NWAtlWhist.model,NA,(0.05467-0.0-0.004-0.11467-0.0-0.12267-0.15067-0.33067-0.22267-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),11062.5,7312.5,0.192,7359.375,10171.875,3750,0,0,8712.890625,1428.86759276577,8109.375,9187.5,0.408163265306122,1.51282051282051,0.723502304147465,7312.5,7500,10359.375,2730.46875,0,0,0,0,0.3703125,2,0,2,9431.81818181818,23693.1818181818,24843.75,-35653.4090909091,-0.696812749003984,0,0,1,2,1,0,2,1,0,0,0,0,90,10,0,3,0.149,0.022,6.77272727272727,0.0855,0.0898025612106915,0.0855,15.625,10.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4167,2018-07-12 18:03:49,269,2018-07-12 14:03:49,2023-08-27 17:30:41,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter4-T1-C__0__20180712_180000-Channel1-20180712_180349.csv,4,AutoEvent5,Sc,NWAtlWhist.model,NA,(0.276-0.0-0.03333-0.072-0.0-0.328-0.036-0.20667-0.048-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),13031.25,11625,0.16,11625,12984.375,1406.25,0,0,12454.1015625,472.707900070501,12445.3125,12328.125,0.114068441064639,1.12096774193548,0.895306859205776,12046.875,12421.875,12890.625,761.71875,0,0,0,0,0.103125,0,0,0,8360.16414141414,9622.79040404041,11239.3465909091,-4734.84848484849,-2.37375,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4168,2018-07-12 18:03:52,117,2018-07-12 14:03:52,2023-08-27 17:30:41,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter5-T1-C__0__20180712_180000-Channel1-20180712_180352.csv,5,AutoEvent5,Sc,NWAtlWhist.model,NA,(0.17733-0.0-0.00533-0.05733-0.0-0.5-0.076-0.128-0.056-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),14156.25,9328.125,0.458,9328.125,14062.5,4828.125,0,0,12732.421875,1182.27059752632,13054.6875,11742.1875,0.411177644710579,1.51758793969849,0.663333333333333,12046.875,13031.25,13546.875,1488.28125,0,0,0,0,0.2765625,1,0,1,9069.46063196064,9746.90818440819,12230.6397306397,-4403.40909090909,-2.77753882915173,2,1,0,2,1,0,1,0,1,0,1,0,91.8918918918919,5.40540540540541,2.7027027027027,1,0,0,0,0,0,0,0,2.18340611353712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,4169,2018-07-12 18:03:59,488,2018-07-12 14:03:59,2023-08-27 17:30:41,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter6-T1-C__0__20180712_180000-Channel1-20180712_180359.csv,6,AutoEvent5,Ambig,NWAtlWhist.model,NA,(0.27067-0.0-0.05333-0.064-0.0-0.25333-0.03067-0.24533-0.08267-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),13218.75,11109.375,0.213,11109.375,13031.25,2109.375,0,0,12424.1071428571,653.141553959728,12515.625,12164.0625,0.173410404624277,1.18987341772152,0.852517985611511,11718.75,12562.5,12937.5,1031.25,0,0,0,0,0.15,0,0,0,8991.47727272728,12187.5,16291.520979021,-10653.4090909091,-1.52923076923077,2,1,0,2,1,0,1,0,0,0,0,0,93.3333333333333,6.66666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4170,2018-07-12 18:15:57,418,2018-07-12 14:15:57,2023-08-27 17:30:45,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter7-T1-C__0__20180712_181500-Channel1-20180712_181557.csv,7,AutoEvent6,Sc,NWAtlWhist.model,NA,(0.156-0.0-0.056-0.08667-0.0-0.36-0.03333-0.20933-0.09867-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),11203.125,7406.25,0.256,7406.25,10406.25,3796.875,0,0,8799.375,1117.53054173868,8484.375,9304.6875,0.408060453400504,1.5126582278481,0.711711711711712,7734.375,8484.375,9562.5,1640.625,0,0,0,0,0.271875,0,0,0,12099.5107323232,18136.4425505051,16492.33815427,-72443.1818181818,-0.227658942364825,2,1,0,2,1,0,1,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,4171,2018-07-12 18:16:57,727,2018-07-12 14:16:57,2023-08-27 17:30:45,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter8-T1-C__0__20180712_181500-Channel1-20180712_181657.csv,8,AutoEvent6,Sf,NWAtlWhist.model,NA,(0.21733-0.0-0.07467-0.048-0.0-0.20667-0.05467-0.336-0.06267-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),10921.875,8625,0.161,8625,10781.25,2296.875,0,0,10065.625,757.385511150035,10265.625,9773.4375,0.235011990407674,1.26630434782609,0.8,9328.125,10265.625,10781.25,1265.625,0,0,0,0,0.1453125,0,0,0,13073.2548701299,14899.5535714286,17800.8780991736,-12784.0909090909,-1.39242424242424,2,1,0,2,1,0,1,0,0,1,0,1,78.5714285714286,14.2857142857143,7.14285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,4172,2018-07-12 18:31:29,749,2018-07-12 14:31:29,2023-08-27 17:30:50,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter9-T1-C__0__20180712_183000-Channel1-20180712_183129.csv,9,AutoEvent7,Ambig,NWAtlWhist.model,NA,(0.28667-0.0-0.10533-0.08267-0.0-0.15467-0.04533-0.28933-0.036-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),11390.625,9515.625,0.16,9515.625,11390.625,1875,0,0,10628.90625,714.901380873614,10734.375,10453.125,0.179372197309417,1.19704433497537,0.835390946502058,9984.375,10640.625,11343.75,1253.90625,0,0,0,0,0.140625,0,0,0,11770.8333333333,12907.196969697,16825.9297520661,-4261.36363636364,-3.94848484848485,2,1,0,1,0,0,2,1,0,0,0,0,91.6666666666667,8.33333333333333,0,3,0.022,0.021,1.04761904761905,0.0215,0.00070710678118654,0.0215,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,4173,2018-07-12 18:33:23,135,2018-07-12 14:33:23,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter10-T1-C__0__20180712_183000-Channel1-20180712_183323.csv,10,AutoEvent7,Ambig,NWAtlWhist.model,NA,(0.15333-0.0-0.07467-0.12133-0.0-0.12267-0.27467-0.108-0.14533-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),16171.875,15046.875,0.224,15093.75,16171.875,1125,0,0,15390.625,348.055423926995,15234.375,15609.375,0.0720720720720721,1.07476635514019,0.933333333333333,15046.875,15140.625,15609.375,515.625,0,0,0,0,0.0703125,0,0,0,4771.20535714286,12420.3530844156,19101.7316017316,-10927.3538961039,-1.74806561436088,0,0,1,2,1,0,3,2,0,1,1,0,53.8461538461539,38.4615384615385,7.69230769230769,6,0.063,0.02,3.15,0.0338,0.0189129585205488,0.022,26.7857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,4174,2018-07-12 18:33:26,442,2018-07-12 14:33:26,2023-08-27 17:30:52,0,NA,0,C:\Users\Bailey Lab\Desktop\CPOD-T1C-2018\Encounter11-T1-C__0__20180712_183000-Channel1-20180712_183326.csv,11,AutoEvent7,Tt,NWAtlWhist.model,NA,(0.04533-0.0-0.068-0.184-0.0-0.04267-0.228-0.08533-0.34667-),(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-),21750,19921.875,0.213,21609.375,20015.625,1828.125,0,0,21016.40625,608.572662588184,21093.75,20835.9375,0.0877390326209224,1.09176470588235,1.07962529274005,21609.375,21140.625,20812.5,832.03125,0,0,0,0,0.178125,0,0,0,-6362.67515379358,9726.90960355434,7990.05681818182,-10190.0703463203,-0.784102223697312,2,1,0,0,0,1,1,0,0,0,0,0,7.14285714285714,92.8571428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
