"","Id","UID","UTC","UTCMilliseconds","PCLocalTime","PCTime","ChannelBitmap","SequenceBitmap","UpdateOf","Source","encounterCount","sightingNum","classifiedAs","classifierUsed","classifier2Used","voteList","spList","freqMax","freqMin","duration","freqBeg","freqEnd","freqRange","dcMean","dcStdDev","freqMean","freqStdDev","freqMedian","freqCenter","freqRelBW","freqMaxMinRatio","freqBegEndRatio","freqQuarter1","freqQuarter2","freqQuarter3","freqSpread","dcQuarter1Mean","dcQuarter2Mean","dcQuarter3Mean","dcQuarter4Mean","freqCOFM","freqStepUp","freqStepDown","freqNumSteps","freqSlopeMean","freqAbsSlopeMean","freqPosSlopeMean","freqNegSlopeMean","freqSlopeRatio","freqBegSweep","freqBegUp","freqBegDwn","freqEndSweep","freqEndUp","freqEndDwn","numSweepsUpDwn","numSweepsDwnUp","numSweepsUpFlat","numSweepsDwnFlat","numSweepsFlatUp","numSweepsFlatDwn","freqSweepUpPercent","freqSweepDwnPercent","freqSweepFlatPercent","numInflections","inflMaxDelta","inflMinDelta","inflMaxMinDelta","inflMeanDelta","inflStdDevDelta","inflMedianDelta","infldur","stepdur","freqPeak","bw3db","bw3dbLow","bw3dbHigh","bw10db","bw10dbLow","bw10dbHigh","rmsSignal","rmsNoise","snr","nCrossings","sweepRate","meanTimeZC","medianTimeZC","varianceTimeZC","whaleTrain","clickType","ici","offlineEventID","latitude","longitude"
"1",1,1258,"2017-10-07 05:34:58.925",925,"2017-10-07 01:34:58.925","2023-06-02 14:40:30.873",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter1-T1-C__0__20171007_053000-Channel1-20171007_053458. ",1,"AutoEvent23         ","Sa                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.068-0.0-0.04533-0.33067-0.0-0.08133-0.16667-0.052-0.256-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",19171.875,18609.375,0.181,18656.25,19125,562.5,0,0,18776.0416666667,165.706486613779,18750,18890.625,0.0297766749379653,1.03022670025189,0.975490196078431,18609.375,18656.25,18750,140.625,0,0,0,0,0.0703125,0,0,0,2385.52807486631,9426.52629233512,12550.3077651515,-8549.78354978355,-1.46790941455696,0,0,1,2,1,0,2,2,0,0,0,0,42.8571428571429,57.1428571428571,0,4,0.044,0.011,4,0.029,0.0167032930884901,0.032,22.0994475138122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,1259,"2017-10-07 06:32:17.575",575,"2017-10-07 02:32:17.575","2023-06-02 14:40:49.852",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter2-T1-C__0__20171007_063000-Channel1-20171007_063217. ",2,"AutoEvent27         ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.176-0.0-0.05733-0.032-0.0-0.23867-0.24-0.13867-0.11733-)                                                                     ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",13078.125,12515.625,0.214,12515.625,12843.75,562.5,0,0,12863.4868421053,142.621067568833,12843.75,12796.875,0.043956043956044,1.04494382022472,0.974452554744526,12890.625,12843.75,12890.625,164.0625,0,0,0,0,0.0421875,0,0,0,830.380417073966,10000.2036493972,9747.52565982405,-11789.7727272727,-0.826778080062184,2,1,0,0,0,1,2,1,0,0,0,0,66.6666666666667,33.3333333333333,0,3,0.096,0.023,4.17391304347826,0.0595,0.051618795026618,0.0595,14.018691588785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,1260,"2017-10-07 06:32:40.359",359,"2017-10-07 02:32:40.359","2023-06-02 14:40:50.266",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter3-T1-C__0__20171007_063000-Channel1-20171007_063240. ",3,"AutoEvent27         ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.016-0.0-0.06533-0.104-0.0-0.02267-0.212-0.07867-0.50133-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",20859.375,20531.25,0.171,20859.375,20718.75,328.125,0,0,20743.5661764706,84.6960802577629,20765.625,20695.3125,0.0158550396375991,1.01598173515982,1.00678733031674,20812.5,20765.625,20812.5,140.625,0,0,0,0,0.0421875,0,0,0,-825.639204545455,9614.70170454546,11718.75,-10440.3409090909,-1.12244897959184,0,0,1,0,0,1,2,2,0,0,0,0,50,50,0,4,0.042,0.011,3.81818181818182,0.0283333333333333,0.0158219257150744,0.032,23.3918128654971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,1261,"2017-10-07 06:33:16.980",980,"2017-10-07 02:33:16.980","2023-06-02 14:40:50.944",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter4-T1-C__0__20171007_063000-Channel1-20171007_063316. ",4,"AutoEvent27         ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.22933-0.0-0.04267-0.04267-0.0-0.23333-0.07733-0.18933-0.18533-)                                                              ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",11390.625,10875,0.17,10875,11109.375,515.625,0,0,11071.0227272727,163.483149152499,11062.5,11132.8125,0.0463157894736842,1.04741379310345,0.978902953586498,11203.125,11062.5,11250,210.9375,0,0,0,0,0.09375,0,0,0,-852.39755555772,11180.8816652215,8607.07009138648,-15041.599025974,-0.57221775933022,2,1,0,0,0,1,1,0,0,0,0,0,60,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,1262,"2017-10-07 06:34:34.104",104,"2017-10-07 02:34:34.104","2023-06-02 14:40:52.296",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter5-T1-C__0__20171007_063000-Channel1-20171007_063434. ",5,"AutoEvent27         ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.02667-0.0-0.08-0.148-0.0-0.03733-0.20533-0.08-0.42267-)                                                                      ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",20906.25,20296.875,0.161,20296.875,20718.75,609.375,0,0,20638.3928571429,205.91256112649,20695.3125,20601.5625,0.0295790671217292,1.03002309468822,0.979638009049774,20390.625,20765.625,20906.25,281.25,0,0,0,0,0.046875,0,0,0,2517.87023460411,10341.2968080307,11940.655111018,-8475.37878787879,-1.40886388795922,2,1,0,2,1,0,1,0,0,0,0,0,60,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,1263,"2017-10-07 06:34:48.301",301,"2017-10-07 02:34:48.301","2023-06-02 14:40:52.554",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter6-T1-C__0__20171007_063000-Channel1-20171007_063448. ",6,"AutoEvent27         ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.09467-0.0-0.15867-0.22667-0.0-0.26267-0.096-0.04933-0.112-)                                                                  ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14625,14390.625,0.15,14484.375,14390.625,234.375,0,0,14515.625,94.4575572076494,14531.25,14507.8125,0.0161550888529887,1.01628664495114,1.00651465798046,14390.625,14578.125,14437.5,152.34375,0,0,0,0,0.0375,0,0,0,-2459.96900826446,9626.80785123967,13139.2045454546,-9496.75324675325,-1.38354700854701,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,1264,"2017-10-07 06:34:56.290",290,"2017-10-07 02:34:56.290","2023-06-02 14:40:52.753",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter7-T1-C__0__20171007_063000-Channel1-20171007_063456. ",7,"AutoEvent27         ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.012-0.0-0.068-0.08267-0.0-0.02-0.22-0.11333-0.484-)                                                                          ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",21562.5,21140.625,0.224,21328.125,21234.375,421.875,0,0,21311.0795454545,120.637132658125,21304.6875,21351.5625,0.0197585071350165,1.019955654102,1.00441501103753,21140.625,21562.5,21140.625,175.78125,0,0,0,0,0.0703125,0,0,0,-365.25974025974,9253.24675324675,10369.3181818182,-10099.4318181818,-1.0267229254571,0,0,1,2,1,0,2,2,0,0,0,0,40,60,0,4,0.054,0.052,1.03846153846154,0.053,0.001,0.053,17.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,1265,"2017-10-07 07:19:07.522",522,"2017-10-07 03:19:07.522","2023-06-02 14:41:12.040",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter8-T1-C__0__20171007_071500-Channel1-20171007_071907. ",8,"AutoEvent30         ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.13467-0.0-0.004-0.06933-0.0-0.552-0.01067-0.21467-0.01467-)                                                                  ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12562.5,8953.125,0.352,8953.125,12562.5,3609.375,0,0,10223.2862903226,997.630604019651,10078.125,10757.8125,0.335511982570806,1.40314136125654,0.712686567164179,9234.375,10078.125,10828.125,1640.625,0,0,0,0,0.3515625,0,0,0,10163.0140692641,10163.0140692641,12703.7675865801,0,0,2,1,0,2,1,0,1,0,1,0,1,0,87.8787878787879,6.06060606060606,6.06060606060606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,1266,"2017-10-07 07:19:08.546",546,"2017-10-07 03:19:08.546","2023-06-02 14:41:12.058",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter9-T1-C__0__20171007_071500-Channel1-20171007_071908. ",9,"AutoEvent30         ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.276-0.0-0.03467-0.11067-0.0-0.20133-0.11067-0.14667-0.12-)                                                                   ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12046.875,9140.625,0.288,9140.625,11625,2906.25,0,0,10319.4444444444,908.075223193301,10406.25,10593.75,0.274336283185841,1.31794871794872,0.786290322580645,9375,10406.25,11015.625,1710.9375,0,0,0,0,0.2203125,0,0,0,8354.27593240093,13602.6733682984,14272.0170454545,-22743.0555555556,-0.627532963219986,2,1,0,2,1,0,2,0,0,1,1,0,86.9565217391304,8.69565217391304,4.34782608695652,3,0.234,0.022,10.6363636363636,0.128,0.149906637611548,0.128,10.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,1267,"2017-10-07 07:19:10.498",498,"2017-10-07 03:19:10.498","2023-06-02 14:41:12.089",0,NA,0,"C:\Users\Caroline Tribble\Desktop\T1C_Pamguard\OctNov2017_outputs\Encounter10-T1-C__0__20171007_071500-Channel1-20171007_071910 ",10,"AutoEvent30         ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.168-0.0-0.12133-0.10667-0.0-0.12667-0.08933-0.29733-0.09067-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12937.5,10781.25,0.15,10781.25,12796.875,2156.25,0,0,12122.5961538462,755.967097832179,12093.75,11859.375,0.181818181818182,1.2,0.842490842490843,11203.125,12093.75,12890.625,1312.5,0,0,0,0,0.15,0,0,0,12451.3150659824,16073.4741568915,19016.5261485826,-7244.31818181818,-2.62502635462787,2,1,0,2,1,0,1,1,0,0,0,0,100,0,0,2,0.118,0.118,1,0.118,0,0.118,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
