Id,UID,UTC,UTCMilliseconds,PCLocalTime,PCTime,ChannelBitmap,SequenceBitmap,UpdateOf,Source,encounterCount,sightingNum,classifiedAs,classifierUsed,classifier2Used,voteList,spList,freqMax,freqMin,duration,freqBeg,freqEnd,freqRange,dcMean,dcStdDev,freqMean,freqStdDev,freqMedian,freqCenter,freqRelBW,freqMaxMinRatio,freqBegEndRatio,freqQuarter1,freqQuarter2,freqQuarter3,freqSpread,dcQuarter1Mean,dcQuarter2Mean,dcQuarter3Mean,dcQuarter4Mean,freqCOFM,freqStepUp,freqStepDown,freqNumSteps,freqSlopeMean,freqAbsSlopeMean,freqPosSlopeMean,freqNegSlopeMean,freqSlopeRatio,freqBegSweep,freqBegUp,freqBegDwn,freqEndSweep,freqEndUp,freqEndDwn,numSweepsUpDwn,numSweepsDwnUp,numSweepsUpFlat,numSweepsDwnFlat,numSweepsFlatUp,numSweepsFlatDwn,freqSweepUpPercent,freqSweepDwnPercent,freqSweepFlatPercent,numInflections,inflMaxDelta,inflMinDelta,inflMaxMinDelta,inflMeanDelta,inflStdDevDelta,inflMedianDelta,infldur,stepdur,freqPeak,bw3db,bw3dbLow,bw3dbHigh,bw10db,bw10dbLow,bw10dbHigh,rmsSignal,rmsNoise,snr,nCrossings,sweepRate,meanTimeZC,medianTimeZC,varianceTimeZC,whaleTrain,clickType,ici,offlineEventID,latitude,longitude
1,4005,2017-04-15 04:01:56.437,437,2017-04-15 00:01:56.437,2023-08-30 04:58:21.009,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter1-T1-C__0__20170415_040000-Channel1-20170415_040156.csv                   ,1,AutoEvent1          ,Dd                  ,NWAtlWhist.model                                                                                                                ,,(0.336-0.0-0.04-0.02933-0.0-0.31467-0.05467-0.136-0.08933-)                                                                     ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11390.625,9328.125,0.246,9328.125,11296.875,2062.5,0.0,0.0,10689.453125,502.103940029423,10687.5,10359.375,0.199095022624434,1.22110552763819,0.825726141078838,10500.0,10687.5,10968.75,433.59375,0.0,0.0,0.0,0.0,0.103125,0.0,0.0,0.0,8298.33662714097,9348.23781291173,14495.4004329004,-6036.93181818182,-2.40112044817927,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,82.6086956521739,8.69565217391304,8.69565217391304,2.0,0.214,0.214,1.0,0.214,0.0,0.214,8.13008130081301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4006,2017-04-15 04:02:27.815,815,2017-04-15 00:02:27.815,2023-08-30 04:58:23.832,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter2-T1-C__0__20170415_040000-Channel1-20170415_040227.csv                   ,2,AutoEvent1          ,Scl                 ,NWAtlWhist.model                                                                                                                ,,(0.15467-0.0-0.04133-0.084-0.0-0.17467-0.32-0.15333-0.072-)                                                                     ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,15375.0,13546.875,0.192,13546.875,15281.25,1828.125,0.0,0.0,14468.75,714.564677668459,14531.25,14460.9375,0.126418152350081,1.13494809688581,0.886503067484663,13593.75,14531.25,15046.875,1453.125,0.0,0.0,0.0,0.0,0.178125,0.0,0.0,0.0,8644.38480151924,12662.2419443764,12428.8656017724,-14062.5,-0.883830442792707,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.16,0.16,1.0,0.16,0.0,0.16,10.4166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4007,2017-04-15 04:02:33.714,714,2017-04-15 00:02:33.714,2023-08-30 04:58:24.029,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter3-T1-C__0__20170415_040000-Channel1-20170415_040233.csv                   ,3,AutoEvent1          ,Dd                  ,NWAtlWhist.model                                                                                                                ,,(0.32533-0.0-0.06-0.02667-0.0-0.26933-0.11467-0.13733-0.06667-)                                                                 ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,10828.125,9140.625,0.256,9234.375,10828.125,1687.5,0.0,0.0,9904.01785714286,480.587147868551,9796.875,9984.375,0.169014084507042,1.18461538461538,0.852813852813853,9562.5,9796.875,10265.625,609.375,0.0,0.0,0.0,0.0,0.0890625,0.0,0.0,0.0,5692.47159090909,9314.63068181818,11543.9248251748,-12073.8636363636,-0.956108597285068,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,86.6666666666667,6.66666666666667,6.66666666666667,2.0,0.224,0.224,1.0,0.224,0.0,0.224,7.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4008,2017-04-15 04:02:47.080,80,2017-04-15 00:02:47.080,2023-08-30 04:58:25.444,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter4-T1-C__0__20170415_040000-Channel1-20170415_040247.csv                   ,4,AutoEvent1          ,Dd                  ,NWAtlWhist.model                                                                                                                ,,(0.30133-0.0-0.05467-0.036-0.0-0.23467-0.06-0.228-0.08533-)                                                                     ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,12234.375,10921.875,0.17,10921.875,12234.375,1312.5,0.0,0.0,11478.125,403.571181652895,11484.375,11578.125,0.11336032388664,1.12017167381974,0.89272030651341,11203.125,11578.125,11671.875,632.8125,0.0,0.0,0.0,0.0,0.065625,0.0,0.0,0.0,8437.7536525974,12090.3510551948,14369.6732954545,-12784.0909090909,-1.12402777777778,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4009,2017-04-15 04:02:52.071,71,2017-04-15 00:02:52.071,2023-08-30 04:58:25.918,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter5-T1-C__0__20170415_040000-Channel1-20170415_040252.csv                   ,5,AutoEvent1          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.27867-0.0-0.084-0.03067-0.0-0.22533-0.148-0.13733-0.096-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11906.25,10734.375,0.16,10734.375,11671.875,1171.875,0.0,0.0,11267.578125,371.812626071587,11250.0,11320.3125,0.10351966873706,1.10917030567686,0.919678714859438,10968.75,11250.0,11531.25,562.5,0.0,0.0,0.0,0.0,0.0703125,0.0,0.0,0.0,5975.37878787879,10066.2878787879,12031.25,-15340.9090909091,-0.784259259259259,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.128,0.128,1.0,0.128,0.0,0.128,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4010,2017-04-15 04:03:49.279,279,2017-04-15 00:03:49.279,2023-08-30 04:58:31.129,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter6-T1-C__0__20170415_040000-Channel1-20170415_040349.csv                   ,6,AutoEvent1          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.17067-0.0-0.04-0.07067-0.0-0.20133-0.18133-0.18133-0.15467-)                                                                 ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,14859.375,13968.75,0.159,13968.75,14859.375,890.625,0.0,0.0,14511.71875,306.702254772257,14460.9375,14414.0625,0.0617886178861789,1.06375838926175,0.94006309148265,14437.5,14250.0,14812.5,574.21875,0.0,0.0,0.0,0.0,0.0609375,0.0,0.0,0.0,6733.79918394927,12673.8818285774,15248.8922241281,-16335.2272727273,-0.933497402242275,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,75.0,12.5,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4011,2017-04-15 04:15:23.445,445,2017-04-15 00:15:23.445,2023-08-30 04:58:45.224,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter7-T1-C__0__20170415_041500-Channel1-20170415_041523.csv                   ,7,AutoEvent2          ,Sf                  ,NWAtlWhist.model                                                                                                                ,,(0.216-0.0-0.05067-0.05867-0.0-0.29333-0.04-0.30133-0.04-)                                                                      ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,10828.125,8812.5,0.17,8812.5,10828.125,2015.625,0.0,0.0,9674.27884615385,716.165136686231,9609.375,9820.3125,0.205250596658711,1.22872340425532,0.813852813852814,9093.75,9609.375,10125.0,1078.125,0.0,0.0,0.0,0.0,0.16875,0.0,0.0,0.0,12474.0493881119,13894.5039335664,19776.4149912587,-4261.36363636364,-4.64086538461538,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,3.0,0.064,0.063,1.01587301587302,0.0635,0.000707106781186548,0.0635,17.6470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4012,2017-04-15 04:15:52.694,694,2017-04-15 00:15:52.694,2023-08-30 04:58:54.717,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter8-T1-C__0__20170415_041500-Channel1-20170415_041552.csv                   ,8,AutoEvent2          ,Scl                 ,NWAtlWhist.model                                                                                                                ,,(0.13733-0.0-0.016-0.07867-0.0-0.14-0.37067-0.07733-0.18-)                                                                      ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,12515.625,10406.25,0.192,11812.5,12515.625,2109.375,0.0,0.0,11006.25,602.693452197241,10781.25,11460.9375,0.184049079754601,1.2027027027027,0.943820224719101,10828.125,10406.25,10687.5,515.625,0.0,0.0,0.0,0.0,0.0703125,1.0,0.0,1.0,-2575.41937229437,16539.8403679654,12218.8683712121,-22301.1363636364,-0.547903397027601,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,54.5454545454545,45.4545454545455,0.0,2.0,0.108,0.108,1.0,0.108,0.0,0.108,10.4166666666667,5.20833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4013,2017-04-15 04:16:11.903,903,2017-04-15 00:16:11.903,2023-08-30 04:59:01.696,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter9-T1-C__0__20170415_041500-Channel1-20170415_041611.csv                   ,9,AutoEvent2          ,Dd                  ,NWAtlWhist.model                                                                                                                ,,(0.384-0.0-0.05067-0.012-0.0-0.18133-0.024-0.296-0.052-)                                                                        ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11203.125,9656.25,0.15,9656.25,11203.125,1546.875,0.0,0.0,10690.625,565.135196372135,11015.625,10429.6875,0.148314606741573,1.16019417475728,0.861924686192469,10171.875,11015.625,11156.25,867.1875,0.0,0.0,0.0,0.0,0.0984375,0.0,0.0,0.0,10146.1038961039,10815.7467532468,16303.6616161616,-4687.5,-3.47811447811448,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,73.3333333333333,13.3333333333333,13.3333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4014,2017-04-15 04:16:34.453,453,2017-04-15 00:16:34.453,2023-08-30 04:59:15.538,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter10-T1-C__0__20170415_041500-Channel1-20170415_041634.csv                  ,10,AutoEvent2          ,Sf                  ,NWAtlWhist.model                                                                                                                ,,(0.19333-0.0-0.08933-0.08-0.0-0.192-0.03867-0.316-0.09067-)                                                                     ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11062.5,8953.125,0.192,8953.125,11062.5,2109.375,0.0,0.0,9719.86607142857,582.75060527038,9726.5625,10007.8125,0.210772833723653,1.23560209424084,0.809322033898305,9468.75,9093.75,10078.125,773.4375,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,10372.4400599401,18239.5729270729,16907.0985832349,-51136.3636363636,-0.330627705627706,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4015,2017-04-15 04:16:42.634,634,2017-04-15 00:16:42.634,2023-08-30 04:59:20.337,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter11-T1-C__0__20170415_041500-Channel1-20170415_041642.csv                  ,11,AutoEvent2          ,Dd                  ,NWAtlWhist.model                                                                                                                ,,(0.356-0.0-0.096-0.024-0.0-0.18267-0.092-0.196-0.05333-)                                                                        ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11156.25,9515.625,0.192,9515.625,10734.375,1640.625,0.0,0.0,10053.4539473684,503.253191416659,10078.125,10335.9375,0.158730158730159,1.17241379310345,0.88646288209607,9515.625,10078.125,10312.5,773.4375,0.0,0.0,0.0,0.0,0.1171875,0.0,0.0,0.0,6676.13636363636,11410.9848484848,13565.3409090909,-21306.8181818182,-0.636666666666667,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,82.3529411764706,11.7647058823529,5.88235294117647,3.0,0.138,0.022,6.27272727272727,0.08,0.0820243866176395,0.08,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4016,2017-04-15 04:16:45.375,375,2017-04-15 00:16:45.375,2023-08-30 04:59:23.971,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter12-T1-C__0__20170415_041500-Channel1-20170415_041645.csv                  ,12,AutoEvent2          ,Sc                  ,NWAtlWhist.model                                                                                                                ,,(0.204-0.0-0.00933-0.044-0.0-0.31867-0.21867-0.136-0.06933-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,10640.625,7921.875,0.321,7968.75,10125.0,2718.75,0.0,0.0,9077.11693548387,762.06587158928,8953.125,9281.25,0.292929292929293,1.34319526627219,0.787037037037037,8484.375,8953.125,9562.5,1031.25,0.0,0.0,0.0,0.0,0.2015625,0.0,0.0,0.0,6857.63888888889,11715.5934343434,12112.977602108,-14573.8636363636,-0.831143882249908,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.289,0.289,1.0,0.289,0.0,0.289,6.23052959501558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4017,2017-04-15 04:16:57.686,686,2017-04-15 00:16:57.686,2023-08-30 04:59:31.498,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter13-T1-C__0__20170415_041500-Channel1-20170415_041657.csv                  ,13,AutoEvent2          ,Sf                  ,NWAtlWhist.model                                                                                                                ,,(0.04933-0.0-0.00533-0.10933-0.0-0.10933-0.268-0.31867-0.14-)                                                                   ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,10875.0,7687.5,0.233,8437.5,10875.0,3187.5,0.0,0.0,9028.84615384616,1020.27872411406,9281.25,9281.25,0.343434343434343,1.41463414634146,0.775862068965517,7687.5,9281.25,9796.875,1687.5,0.0,0.0,0.0,0.0,0.3046875,1.0,0.0,1.0,8904.6808236722,15266.2879665293,14502.5812741209,-19084.8214285714,-0.759901334597214,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,2.0,0.192,0.192,1.0,0.192,0.0,0.192,8.58369098712446,4.29184549356223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4018,2017-04-15 04:17:23.634,634,2017-04-15 00:17:23.634,2023-08-30 04:59:50.412,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter14-T1-C__0__20170415_041500-Channel1-20170415_041723.csv                  ,14,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.172-0.0-0.06933-0.07467-0.0-0.18267-0.17867-0.208-0.11467-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11109.375,8765.625,0.224,9234.375,11109.375,2343.75,0.0,0.0,9907.8947368421,557.532432824599,9843.75,9937.5,0.235849056603774,1.26737967914439,0.831223628691983,9468.75,9984.375,10125.0,726.5625,0.0,0.0,0.0,0.0,0.178125,0.0,0.0,0.0,7020.14696382429,14311.813630491,14768.280411449,-21875.0,-0.675121390237669,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.203,0.203,1.0,0.203,0.0,0.203,8.92857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4019,2017-04-15 04:17:59.058,58,2017-04-15 00:17:59.058,2023-08-30 05:00:14.553,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter15-T1-C__0__20170415_041500-Channel1-20170415_041759.csv                  ,15,AutoEvent2          ,Sc                  ,NWAtlWhist.model                                                                                                                ,,(0.304-0.0-0.02667-0.04133-0.0-0.38533-0.06667-0.11067-0.06533-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11906.25,10031.25,0.225,10265.625,11906.25,1875.0,0.0,0.0,10470.9821428571,601.659604871333,10218.75,10968.75,0.170940170940171,1.18691588785047,0.862204724409449,10078.125,10078.125,10687.5,609.375,0.0,0.0,0.0,0.0,0.1921875,0.0,0.0,0.0,4945.71834415584,10030.9456168831,16640.7377344877,-10170.4545454545,-1.63618426886583,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,54.5454545454545,31.8181818181818,13.6363636363636,2.0,0.151,0.151,1.0,0.151,0.0,0.151,8.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4020,2017-04-15 04:18:02.687,687,2017-04-15 00:18:02.687,2023-08-30 05:00:18.456,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter16-T1-C__0__20170415_041500-Channel1-20170415_041802.csv                  ,16,AutoEvent2          ,Dd                  ,NWAtlWhist.model                                                                                                                ,,(0.30533-0.0-0.02667-0.024-0.0-0.248-0.10933-0.19067-0.096-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,12187.5,10125.0,0.234,10453.125,12140.625,2062.5,0.0,0.0,10625.0,713.073008750733,10265.625,11156.25,0.184873949579832,1.2037037037037,0.861003861003861,10125.0,10171.875,10453.125,492.1875,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,5945.69389339313,11201.6452475418,20821.7689568496,-11168.896627566,-1.86426373626374,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,58.8235294117647,23.5294117647059,17.6470588235294,4.0,0.16,0.01,16.0,0.064,0.0833546639366988,0.022,17.0940170940171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4021,2017-04-15 04:18:13.299,299,2017-04-15 00:18:13.299,2023-08-30 05:00:28.529,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter17-T1-C__0__20170415_041500-Channel1-20170415_041813.csv                  ,17,AutoEvent2          ,Scl                 ,NWAtlWhist.model                                                                                                                ,,(0.11733-0.0-0.048-0.044-0.0-0.17333-0.392-0.12667-0.09867-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,16078.125,14437.5,0.183,14437.5,16078.125,1640.625,0.0,0.0,15150.6696428571,506.256200358856,15164.0625,15257.8125,0.10752688172043,1.11363636363636,0.897959183673469,14671.875,14765.625,15328.125,644.53125,0.0,0.0,0.0,0.0,0.1359375,0.0,0.0,0.0,4454.62740384615,12911.795236014,18813.6245265152,-10994.3181818182,-1.71121339362618,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,50.0,40.0,10.0,3.0,0.065,0.011,5.90909090909091,0.038,0.0381837661840736,0.038,16.3934426229508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4022,2017-04-15 04:18:17.598,598,2017-04-15 00:18:17.598,2023-08-30 05:00:30.542,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter18-T1-C__0__20170415_041500-Channel1-20170415_041817.csv                  ,18,AutoEvent2          ,Sf                  ,NWAtlWhist.model                                                                                                                ,,(0.11467-0.0-0.03333-0.22133-0.0-0.132-0.06933-0.32533-0.104-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,11015.625,8531.25,0.182,8718.75,10312.5,2484.375,0.0,0.0,9505.20833333333,748.197896222493,9398.4375,9773.4375,0.254196642685851,1.29120879120879,0.845454545454546,8812.5,9328.125,11015.625,1417.96875,0.0,0.0,0.0,0.0,0.1546875,0.0,0.0,0.0,8489.30481283423,19318.1818181818,18181.8181818182,-46022.7272727273,-0.395061728395062,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,81.25,12.5,6.25,4.0,0.128,0.01,12.8,0.0536666666666667,0.0647018804466557,0.023,21.978021978022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4023,2017-04-15 04:30:02.091,91,2017-04-15 00:30:02.091,2023-08-30 05:01:46.967,0,,0,D:\Tailwinds\DolSpCls_T1C_Bottlenose\outputs\Encounter19-T1-C__0__20170415_043000-Channel1-20170415_043002.csv                  ,19,AutoEvent3          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.176-0.0-0.06933-0.01733-0.0-0.23733-0.14267-0.10267-0.25467-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,12046.875,11343.75,0.17,11953.125,12046.875,703.125,0.0,0.0,11663.6029411765,275.445619899934,11625.0,11695.3125,0.0601202404809619,1.06198347107438,0.992217898832685,11484.375,11390.625,11671.875,562.5,0.0,0.0,0.0,0.0,0.065625,0.0,0.0,0.0,671.756628787879,9780.42140151515,11945.3463203463,-18217.3295454546,-0.655713357467743,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,52.9411764705882,35.2941176470588,11.7647058823529,2.0,0.096,0.096,1.0,0.096,0.0,0.096,11.7647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
