Id,UID,UTC,UTCMilliseconds,PCLocalTime,PCTime,ChannelBitmap,SequenceBitmap,UpdateOf,Source,encounterCount,sightingNum,classifiedAs,classifierUsed,classifier2Used,voteList,spList,freqMax,freqMin,duration,freqBeg,freqEnd,freqRange,dcMean,dcStdDev,freqMean,freqStdDev,freqMedian,freqCenter,freqRelBW,freqMaxMinRatio,freqBegEndRatio,freqQuarter1,freqQuarter2,freqQuarter3,freqSpread,dcQuarter1Mean,dcQuarter2Mean,dcQuarter3Mean,dcQuarter4Mean,freqCOFM,freqStepUp,freqStepDown,freqNumSteps,freqSlopeMean,freqAbsSlopeMean,freqPosSlopeMean,freqNegSlopeMean,freqSlopeRatio,freqBegSweep,freqBegUp,freqBegDwn,freqEndSweep,freqEndUp,freqEndDwn,numSweepsUpDwn,numSweepsDwnUp,numSweepsUpFlat,numSweepsDwnFlat,numSweepsFlatUp,numSweepsFlatDwn,freqSweepUpPercent,freqSweepDwnPercent,freqSweepFlatPercent,numInflections,inflMaxDelta,inflMinDelta,inflMaxMinDelta,inflMeanDelta,inflStdDevDelta,inflMedianDelta,infldur,stepdur,freqPeak,bw3db,bw3dbLow,bw3dbHigh,bw10db,bw10dbLow,bw10dbHigh,rmsSignal,rmsNoise,snr,nCrossings,sweepRate,meanTimeZC,medianTimeZC,varianceTimeZC,whaleTrain,clickType,ici,offlineEventID,latitude,longitude
951,951,5/8/2014 13:55,135,5/8/2014 9:55,8/4/2023 13:54,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna_outputs\Encounter1-B13h55m12s08may2014-Channel1-20140508_135515.csv                 ,1,AutoEvent1          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.148-0.0-0.03333-0.25733-0.0-0.08933-0.12933-0.15467-0.188-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17343.75,0.214,17343.75,18234.375,890.625,0,0,17917.41071,267.189458,18000,17789.0625,0.050065876,1.051351351,0.951156812,17765.625,18093.75,18000,328.125,0,0,0,0,0.084375,0,0,0,4712.357955,11821.73295,12718.53147,-10156.25,-1.252286175,2,1,0,2,1,0,2,1,0,0,0,0,77.77777778,22.22222222,0,3,0.054,0.053,1.018867925,0.0535,0.000707107,0.0535,14.01869159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,952,5/8/2014 13:55,800,5/8/2014 9:55,8/4/2023 13:54,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna_outputs\Encounter2-B13h55m12s08may2014-Channel1-20140508_135520.csv                 ,2,AutoEvent1          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.09467-0.0-0.03733-0.216-0.0-0.08933-0.14267-0.18667-0.23333-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18187.5,17625,0.159,17625,17812.5,562.5,0,0,17926.75781,136.897205,17953.125,17906.25,0.031413613,1.031914894,0.989473684,18093.75,17953.125,18000,140.625,0,0,0,0,0.028125,0,0,0,1112.689394,10544.50758,17485.79545,-10105.51948,-1.730321285,2,1,0,0,0,1,2,1,0,0,0,0,33.33333333,66.66666667,0,3,0.043,0.043,1,0.043,0,0.043,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,953,5/8/2014 13:55,807,5/8/2014 9:55,8/4/2023 13:54,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna_outputs\Encounter3-B13h55m12s08may2014-Channel1-20140508_135527.csv                 ,3,AutoEvent1          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.06267-0.0-0.02933-0.284-0.0-0.108-0.112-0.16933-0.23467-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18093.75,17765.625,0.16,17859.375,18000,328.125,0,0,17915.03906,89.29861793,17906.25,17929.6875,0.018300654,1.018469657,0.9921875,18000,17906.25,17812.5,140.625,0,0,0,0,0.046875,0,0,0,580.8080808,10612.37374,11992.69481,-12539.45707,-0.956396656,2,1,0,2,1,0,2,2,0,0,0,0,50,50,0,4,0.084,0.011,7.636363636,0.042666667,0.037447741,0.033,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,954,5/8/2014 13:55,184,5/8/2014 9:55,8/4/2023 13:54,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna_outputs\Encounter4-B13h55m12s08may2014-Channel1-20140508_135529.csv                 ,4,AutoEvent1          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.13067-0.0-0.03333-0.20667-0.0-0.164-0.12933-0.12667-0.20933-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18328.125,17765.625,0.159,17765.625,17859.375,562.5,0,0,18023.4375,162.3797632,18023.4375,18046.875,0.031168831,1.031662269,0.994750656,17953.125,18093.75,18000,175.78125,0,0,0,0,0.084375,0,0,0,596.5909091,12982.95455,14549.51299,-15482.95455,-0.939711664,2,1,0,2,1,0,1,0,0,0,0,0,57.14285714,42.85714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,955,5/8/2014 13:55,592,5/8/2014 9:55,8/4/2023 13:54,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna_outputs\Encounter5-B13h55m12s08may2014-Channel1-20140508_135530.csv                 ,5,AutoEvent1          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.06-0.0-0.03333-0.30533-0.0-0.09733-0.136-0.10933-0.25867-)                                                                   ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17859.375,0.17,18046.875,18234.375,375,0,0,18082.72059,125.7017297,18093.75,18046.875,0.020779221,1.020997375,0.989717224,18000,18140.625,18140.625,187.5,0,0,0,0,0.01875,0,0,0,905.5397727,14968.03977,15873.57955,-16071.42857,-0.987689394,0,0,1,2,1,0,1,1,0,0,0,0,50,50,0,2,0.011,0.011,1,0.011,0,0.011,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,956,5/8/2014 13:55,375,5/8/2014 9:55,8/4/2023 13:54,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna_outputs\Encounter6-B13h55m12s08may2014-Channel1-20140508_135533.csv                 ,6,AutoEvent1          ,Sa                  ,NWAtlWhist.model                                                                                                                ,,(0.04667-0.0-0.02133-0.304-0.0-0.09333-0.09067-0.16933-0.27467-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18281.25,17812.5,0.171,18187.5,18046.875,468.75,0,0,18019.30147,145.4814009,18046.875,18046.875,0.025974026,1.026315789,1.007792208,17812.5,18281.25,18000,281.25,0,0,0,0,0.05625,0,0,0,-1241.418087,9817.412405,11434.65909,-12638.66342,-0.90473642,0,0,1,2,1,0,3,3,0,0,0,0,50,50,0,6,0.043,0.011,3.909090909,0.0256,0.012239281,0.021,35.0877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,957,5/8/2014 13:55,135,5/8/2014 9:55,8/4/2023 13:55,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter7-B13h55m12s08may2014-Channel1-20140508_135515.csv                 ,7,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.148-0.0-0.03333-0.25733-0.0-0.08933-0.12933-0.15467-0.188-)                                                                  ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18234.375,17343.75,0.214,17343.75,18234.375,890.625,0,0,17917.41071,267.189458,18000,17789.0625,0.050065876,1.051351351,0.951156812,17765.625,18093.75,18000,328.125,0,0,0,0,0.084375,0,0,0,4712.357955,11821.73295,12718.53147,-10156.25,-1.252286175,2,1,0,2,1,0,2,1,0,0,0,0,77.77777778,22.22222222,0,3,0.054,0.053,1.018867925,0.0535,0.000707107,0.0535,14.01869159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,958,5/8/2014 13:55,800,5/8/2014 9:55,8/4/2023 13:55,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter8-B13h55m12s08may2014-Channel1-20140508_135520.csv                 ,8,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.09467-0.0-0.03733-0.216-0.0-0.08933-0.14267-0.18667-0.23333-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18187.5,17625,0.159,17625,17812.5,562.5,0,0,17926.75781,136.897205,17953.125,17906.25,0.031413613,1.031914894,0.989473684,18093.75,17953.125,18000,140.625,0,0,0,0,0.028125,0,0,0,1112.689394,10544.50758,17485.79545,-10105.51948,-1.730321285,2,1,0,0,0,1,2,1,0,0,0,0,33.33333333,66.66666667,0,3,0.043,0.043,1,0.043,0,0.043,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,959,5/8/2014 13:55,807,5/8/2014 9:55,8/4/2023 13:55,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter9-B13h55m12s08may2014-Channel1-20140508_135527.csv                 ,9,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.06267-0.0-0.02933-0.284-0.0-0.108-0.112-0.16933-0.23467-)                                                                    ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18093.75,17765.625,0.16,17859.375,18000,328.125,0,0,17915.03906,89.29861793,17906.25,17929.6875,0.018300654,1.018469657,0.9921875,18000,17906.25,17812.5,140.625,0,0,0,0,0.046875,0,0,0,580.8080808,10612.37374,11992.69481,-12539.45707,-0.956396656,2,1,0,2,1,0,2,2,0,0,0,0,50,50,0,4,0.084,0.011,7.636363636,0.042666667,0.037447741,0.033,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,960,5/8/2014 13:55,184,5/8/2014 9:55,8/4/2023 13:55,0,,0,D:\Tailwinds\DolphinSpeciesClassifier\Bruna outputs\Encounter10-B13h55m12s08may2014-Channel1-20140508_135529.csv                ,10,AutoEvent2          ,Ambig               ,NWAtlWhist.model                                                                                                                ,,(0.13067-0.0-0.03333-0.20667-0.0-0.164-0.12933-0.12667-0.20933-)                                                                ,(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ,18328.125,17765.625,0.159,17765.625,17859.375,562.5,0,0,18023.4375,162.3797632,18023.4375,18046.875,0.031168831,1.031662269,0.994750656,17953.125,18093.75,18000,175.78125,0,0,0,0,0.084375,0,0,0,596.5909091,12982.95455,14549.51299,-15482.95455,-0.939711664,2,1,0,2,1,0,1,0,0,0,0,0,57.14285714,42.85714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
