"","Id","UID","UTC","UTCMilliseconds","PCLocalTime","PCTime","ChannelBitmap","SequenceBitmap","UpdateOf","Source","encounterCount","sightingNum","classifiedAs","classifierUsed","classifier2Used","voteList","spList","freqMax","freqMin","duration","freqBeg","freqEnd","freqRange","dcMean","dcStdDev","freqMean","freqStdDev","freqMedian","freqCenter","freqRelBW","freqMaxMinRatio","freqBegEndRatio","freqQuarter1","freqQuarter2","freqQuarter3","freqSpread","dcQuarter1Mean","dcQuarter2Mean","dcQuarter3Mean","dcQuarter4Mean","freqCOFM","freqStepUp","freqStepDown","freqNumSteps","freqSlopeMean","freqAbsSlopeMean","freqPosSlopeMean","freqNegSlopeMean","freqSlopeRatio","freqBegSweep","freqBegUp","freqBegDwn","freqEndSweep","freqEndUp","freqEndDwn","numSweepsUpDwn","numSweepsDwnUp","numSweepsUpFlat","numSweepsDwnFlat","numSweepsFlatUp","numSweepsFlatDwn","freqSweepUpPercent","freqSweepDwnPercent","freqSweepFlatPercent","numInflections","inflMaxDelta","inflMinDelta","inflMaxMinDelta","inflMeanDelta","inflStdDevDelta","inflMedianDelta","infldur","stepdur","freqPeak","bw3db","bw3dbLow","bw3dbHigh","bw10db","bw10dbLow","bw10dbHigh","rmsSignal","rmsNoise","snr","nCrossings","sweepRate","meanTimeZC","medianTimeZC","varianceTimeZC","whaleTrain","clickType","ici","offlineEventID","latitude","longitude"
"1",1,1,"2023-06-20 15:50:42.016",16,"2023-06-20 11:50:42.016","2023-06-20 16:02:31.374",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter1-5801404R-Channel1-20230620_155042.csv            ",1,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.15733-0.0-0.112-0.19067-0.0-0.12133-0.18267-0.04933-0.18667-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14913.28125,13670.5078125,0.202,14143.9453125,13670.5078125,1242.7734375,0,0,14282.03125,400.870019706851,14291.89453125,14291.89453125,0.0869565217391304,1.09090909090909,1.03463203463203,14854.1015625,14499.0234375,14025.5859375,562.20703125,0,0,0,0,0.118359375,0,0,0,-4094.38486671843,10812.8518051242,19315.5924479167,-10714.5763578869,-1.8027397260274,2,1,0,0,0,1,1,1,0,1,0,1,15,80,5,2,0.033,0.033,1,0.033,0,0.033,9.9009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,2,"2023-06-20 15:50:46.526",526,"2023-06-20 11:50:46.526","2023-06-20 16:02:31.619",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter2-5801404R-Channel1-20230620_155046.csv            ",2,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.11467-0.0-0.08-0.164-0.0-0.14533-0.18667-0.05067-0.25867-)                                                                   ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14854.1015625,13611.328125,0.22,14203.125,13788.8671875,1242.7734375,0,0,14203.125,378.75,14203.125,14232.71484375,0.0873180873180873,1.09130434782609,1.03004291845494,14735.7421875,14321.484375,13848.046875,650.9765625,0,0,0,0,0.1538671875,0,0,0,-3324.50597426471,12022.7596507353,13591.0213694853,-13702.9157366071,-0.991834265840012,2,1,0,0,0,1,3,3,0,0,0,0,21.4285714285714,78.5714285714286,0,6,0.093,0.008,11.625,0.0354,0.0337387018126068,0.025,27.2727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,3,"2023-06-20 15:50:47.481",481,"2023-06-20 11:50:47.481","2023-06-20 16:02:31.689",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter3-5801404R-Channel1-20230620_155047.csv            ",3,"AutoEvent6          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.108-0.0-0.01867-0.12267-0.0-0.536-0.12267-0.03467-0.05733-)                                                                  ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14084.765625,12605.2734375,0.262,13197.0703125,12960.3515625,1479.4921875,0,0,13611.328125,409.181436271669,13700.09765625,13345.01953125,0.110864745011086,1.11737089201878,1.01826484018265,14025.5859375,13907.2265625,13552.1484375,577.001953125,0,0,0,0,0.18345703125,0,0,0,-645.431307603687,10766.2790418587,17430.3488756614,-12634.3936011905,-1.37959520859149,2,1,0,0,0,1,1,0,0,2,0,2,33.3333333333333,57.5757575757576,9.09090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,4,"2023-06-20 15:50:50.414",414,"2023-06-20 11:50:50.414","2023-06-20 16:02:31.882",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter4-5801404R-Channel1-20230620_155050.csv            ",4,"AutoEvent6          ","Scl                 ","NWAtlWhist.model                                                                                                                ",NA,"(0.1-0.0-0.07467-0.10667-0.0-0.176-0.30667-0.06267-0.17333-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14380.6640625,13078.7109375,0.244,14143.9453125,13078.7109375,1301.953125,0,0,14013.75,393.598236753141,14173.53515625,13729.6875,0.0948275862068966,1.09954751131222,1.08144796380091,14380.6640625,14203.125,13729.6875,503.02734375,0,0,0,0,0.1301953125,0,0,0,-4457.10180623974,10822.0764059934,10254.6812996032,-15824.8631483844,-0.648010741290368,2,1,0,0,0,1,1,1,1,1,0,2,32,56,12,3,0.018,0.017,1.05882352941176,0.0175,0.000707106781186546,0.0175,12.2950819672131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,5,"2023-06-20 15:50:53.302",302,"2023-06-20 11:50:53.302","2023-06-20 16:02:32.094",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter5-5801404R-Channel1-20230620_155053.csv            ",5,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.224-0.0-0.03867-0.212-0.0-0.26267-0.032-0.09333-0.13733-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",13907.2265625,12072.65625,0.186,13788.8671875,12309.375,1834.5703125,0,0,13143.0366847826,546.459037374158,13256.25,12989.94140625,0.14123006833713,1.15196078431373,1.12019230769231,13611.328125,13256.25,12782.8125,858.10546875,0,0,0,0,0.165703125,0,0,0,-7920.51373106061,11686.493844697,20712.890625,-13479.8177083333,-1.53658536585366,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6,"2023-06-20 15:50:55.347",347,"2023-06-20 11:50:55.347","2023-06-20 16:02:32.278",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter6-5801404R-Channel1-20230620_155055.csv            ",6,"AutoEvent6          ","Tt                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.10933-0.0-0.00133-0.25067-0.0-0.25733-0.04533-0.01333-0.32267-)                                                              ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12782.8125,5622.0703125,0.591,12782.8125,6509.765625,7160.7421875,0,0,8147.35212053571,2159.2617810058,7722.94921875,9202.44140625,0.778135048231511,2.27368421052632,1.96363636363636,9883.0078125,7752.5390625,5740.4296875,3802.294921875,0,0,0,0,0.7456640625,0,0,0,-11044.0681311021,13748.2320543707,13327.6650503952,-15551.5337527056,-0.85700004014565,0,0,1,2,1,0,1,1,1,1,1,1,16.2162162162162,79.7297297297297,4.05405405405405,4,0.066,0.027,2.44444444444444,0.0416666666666667,0.021221058723196,0.032,6.76818950930626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,7,"2023-06-20 15:50:58.236",236,"2023-06-20 11:50:58.236","2023-06-20 16:02:32.471",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter7-5801404R-Channel1-20230620_155058.csv            ",7,"AutoEvent6          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.03733-0.0-0.00667-0.336-0.0-0.45733-0.03467-0.01333-0.11467-)                                                                ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",14735.7421875,11421.6796875,0.212,14735.7421875,11421.6796875,3314.0625,0,0,13516.1260190217,895.504803180059,13552.1484375,13078.7109375,0.253393665158371,1.29015544041451,1.29015544041451,14380.6640625,13552.1484375,13137.890625,1213.18359375,0,0,0,0,0.28998046875,0,0,0,-13714.8518207645,14312.6264419766,6575.52083333333,-16226.4347836922,-0.40523509452254,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,8,"2023-06-20 15:50:59.673",673,"2023-06-20 11:50:59.673","2023-06-20 16:02:32.566",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter8-5801404R-Channel1-20230620_155059.csv            ",8,"AutoEvent6          ","Sf                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.096-0.0-0.0-0.196-0.0-0.12933-0.11333-0.35867-0.10667-)                                                                      ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12250.1953125,8876.953125,0.16,9409.5703125,12250.1953125,3373.2421875,0,0,9584.150390625,968.90360838775,9202.44140625,10563.57421875,0.319327731092437,1.38,0.768115942028985,9054.4921875,8876.953125,9646.2890625,710.15625,0,0,0,0,0.30181640625,0,0,0,17556.1462249373,24613.7071193609,40061.3606770833,-13409.3656994048,-2.98756567425569,0,0,1,2,1,0,1,0,0,1,1,0,54.5454545454545,36.3636363636364,9.09090909090909,2,0.084,0.084,1,0.084,0,0.084,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,9,"2023-06-20 15:50:59.749",749,"2023-06-20 11:50:59.749","2023-06-20 16:02:32.591",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter9-5801404R-Channel1-20230620_155059.csv            ",9,"AutoEvent6          ","Ambig               ","NWAtlWhist.model                                                                                                                ",NA,"(0.14-0.0-0.048-0.13067-0.0-0.216-0.10533-0.09733-0.26267-)                                                                     ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",12960.3515625,11835.9375,0.152,12782.8125,12072.65625,1124.4140625,0,0,12499.3729440789,361.905252887567,12605.2734375,12398.14453125,0.0906921241050119,1.095,1.05882352941176,12901.171875,12605.2734375,12131.8359375,591.796875,0,0,0,0,0.08876953125,0,0,0,-4593.73191550926,10712.6193576389,11013.9973958333,-17219.6451822917,-0.639618138424821,2,1,0,0,0,1,2,1,0,0,1,0,31.25,62.5,6.25,3,0.068,0.009,7.55555555555556,0.0385,0.0417193000900063,0.0385,19.7368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,10,"2023-06-20 15:50:59.919",919,"2023-06-20 11:50:59.919","2023-06-20 16:02:32.608",0,NA,0,"C:\Users\Caroline Tribble\Desktop\WatkinsCD_Pamguard\watkins_output\Encounter10-5801404R-Channel1-20230620_155059.csv           ",10,"AutoEvent6          ","Sc                  ","NWAtlWhist.model                                                                                                                ",NA,"(0.01867-0.0-0.01733-0.232-0.0-0.564-0.03867-0.008-0.12133-)                                                                    ","(Dd-Gg-Gm-Sa-Sb-Sc-Scl-Sf-Tt-)                                                                                                  ",13433.7890625,9054.4921875,0.269,13256.25,9054.4921875,4379.296875,0,0,11482.83203125,1324.8926434182,11865.52734375,11244.140625,0.389473684210526,1.48366013071895,1.4640522875817,12486.9140625,11895.1171875,10474.8046875,1938.134765625,0,0,0,0,0.37283203125,0,0,0,-17812.1377432733,19203.5097064394,10087.4467329545,-21469.0755208333,-0.469859390226925,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
